permit_number,geocode,permit_issued_date,address,dwellings,construction_type,permit_type,description,city
2014-MSS-COM-00051,04220018203090000,2014-10-15,3840 O'LEARY ST,36,Commercial Construction,BNMRB,TYSON VANCE APARTMENTS,Missoula
2014-MSS-COM-00051,04220018203100000,2014-10-15,3840 O'LEARY ST,36,Commercial Construction,BNMRB,TYSON VANCE APARTMENTS,Missoula
2014-MSS-COM-00051,04220018203110000,2014-10-15,3840 O'LEARY ST,36,Commercial Construction,BNMRB,TYSON VANCE APARTMENTS,Missoula
2014-MSS-COM-00051,04220018203120000,2014-10-15,3840 O'LEARY ST,36,Commercial Construction,BNMRB,TYSON VANCE APARTMENTS,Missoula
2014-MSS-COM-00052,04220018203010000,2014-08-19,3800 O'LEARY ST,39,Commercial Construction,BNMRB,TYSON VANCE APARTMENTS,Missoula
2014-MSS-COM-00053,04220016203040000,2014-06-04,1305 B SCOTT ST,1,Commercial Construction,BNCON,CITY VEHICLE STORAGE BLDG,Missoula
2014-MSS-COM-00054,04220021340300000,2014-05-30,1347 DAKOTA ST,8,Commercial Construction,BNMRB,JOHN LYNN APARTMENTS,Missoula
2014-MSS-COM-00062,04220020316170000,2014-05-13,2259-A S 3RD ST W,4,Commercial Construction,BNMRA,LOT 11A  BENNETT ADDITION BLK 15,Missoula
2014-MSS-COM-00063,04220020316150000,2014-05-13,2253 S 3RD ST W,4,Commercial Construction,BNMRA,LOT 12A  BENNETT ADDITION BLK 15,Missoula
2014-MSS-COM-00064,04220020316130000,2014-05-13,2247 S 3RD ST W,4,Commercial Construction,BNMRA,LOT 13A BENNETT ADDITION BLK 15,Missoula
2014-MSS-COM-00071,04220006101900000,2014-05-28,4963 POTTER PARK LP,4,Commercial Construction,BNMRA,LOT D6 WINDSOR PARK,Missoula
2014-MSS-COM-00072,04220032277480000,2014-06-04,2233 SOUTH AVE W,4,Commercial Construction,BNMRA,LOTS 7 & 8 CARLINE BLK 41,Missoula
2014-MSS-COM-00077,04220028313020000,2014-06-24,748 W SUSSEX AVE,3,Commercial Construction,BNMRA,LOT 14 HOMEVALE BLK 35,Missoula
2014-MSS-COM-00078,04220028313150000,2014-06-24,744 W SUSSEX AVE,3,Commercial Construction,BNMRA,BLDG B LOT 15 HOMEVALE BLK 35,Missoula
2014-MSS-COM-00079,04220028313160000,2014-06-24,740 W SUSSEX AVE,3,Commercial Construction,BNMRA,LOT 16 HOMEVALE BLK 35,Missoula
2014-MSS-COM-00082,04220032402220000,2014-06-20,4015 RUSSELL ST,22,Commercial Construction,BNMRB,LOT 5A GLEN ADDITION,Missoula
2014-MSS-COM-00082,04220032402230000,2014-06-20,4015 RUSSELL ST,22,Commercial Construction,BNMRB,LOT 5A GLEN ADDITION,Missoula
2014-MSS-COM-00085,04220027103030000,2014-05-22,830 CONNELL AVE,1,Commercial Construction,BNCON,IT MODULAR UNITS NEXT TO HEATING PLANT,Missoula
2014-MSS-COM-00091,04220032277480000,2014-06-04,2245 SOUTH AVE W,4,Commercial Construction,BNMRA,LOT 7 & 8 CARLINE ADD BLK 41,Missoula
2014-MSS-COM-00112,04220006101860000,2014-09-30,4931 POTTER PARK LP,4,Commercial Construction,BNMRA,LOT D2 WINDSOR PARK,Missoula
2014-MSS-COM-00113,04220006101870000,2014-09-30,4939 POTTER PARK LP,4,Commercial Construction,BNMRA,LOT D3 WINDSOR PARK,Missoula
2014-MSS-COM-00114,04220006101880000,2014-09-30,4947 POTTER PARK LP,4,Commercial Construction,BNMRA,LOT D4 WINDSOR PARK,Missoula
2014-MSS-COM-00115,04220006101890000,2014-05-28,4955 POTTER PARK LP,4,Commercial Construction,BNMRA,LOT D5 WINDSOR PARK,Missoula
2014-MSS-COM-00116,04220006101860000,2014-09-30,4931 POTTER PARK LP,4,Commercial Construction,BNCON,LOT D2 WINDSOR PARK,Missoula
2014-MSS-COM-00117,04220006101870000,2014-09-30,4939 POTTER PARK LP,4,Commercial Construction,BNCON,LOT D3 WINDSOR PARK,Missoula
2014-MSS-COM-00118,04220006101880000,2014-09-30,4947 POTTER PARK LP,4,Commercial Construction,BNCON,LOT D4 WINDSOR PARK,Missoula
2014-MSS-COM-00119,04220006101890000,2014-05-28,4955 POTTER PARK LP,4,Commercial Construction,BNCON,LOT D5 WINDSOR PARK,Missoula
2014-MSS-COM-00120,04220006101900000,2014-05-28,4963 POTTER PARK LP,4,Commercial Construction,BNCON,LOT D6 WINDSOR PARK,Missoula
2014-MSS-COM-00147,04220028313110000,2014-07-09,2210 BOW ST,6,Commercial Construction,BNMRB,LOTS 11 & 12 HOMEVALE BLK 35,Missoula
2014-MSS-COM-00229,04220029188100000,2014-10-17,1936 S 8TH ST W,3,Commercial Construction,BNMRA,LOT 24 DALYS BLK 25,Missoula
2014-MSS-COM-00230,04220029188100000,2014-10-17,1940 S 8TH ST W,3,Commercial Construction,BNMRA,LOT 23 DALYS ADD BLK 29,Missoula
2014-MSS-COM-00242,04220020426137005,2014-10-27,1940 TRAIL ST,8,Commercial Construction,BNMRB,TRAIL STREET CONDOS PH 4,Missoula
2014-MSS-COM-00283,04220015201060000,2014-10-30,1410 WORDEN AVE,14,Commercial Construction,BNMRB,PARKSIDE APARTMENTS,Missoula
2014-MSS-COM-00303,04220016108250000,2014-11-14,825 CHARLO ST,4,Commercial Construction,BNMRA,4-PLEX BLDG ONE,Missoula
2014-MSS-COM-00303,04220016108270000,2014-11-14,825 CHARLO ST,4,Commercial Construction,BNMRA,4-PLEX BLDG ONE,Missoula
2014-MSS-COM-00304,04220016108250000,2014-11-14,831 CHARLO ST,4,Commercial Construction,BNMRA,4-PLEX BLDG TWO,Missoula
2014-MSS-COM-00304,04220016108270000,2014-11-14,831 CHARLO ST,4,Commercial Construction,BNMRA,4-PLEX BLDG TWO,Missoula
2014-MSS-COM-00319,04220016108250000,2014-12-30,813 CHARLO ST,4,Commercial Construction,BNMRA,,Missoula
2014-MSS-COM-00320,04220016108250000,2014-12-30,819 CHARLO ST,4,Commercial Construction,BNMRA,,Missoula
2014-MSS-COM-00342,04220032402220000,2014-12-02,4015 RUSSELL ST,1,Commercial Construction,BNCON,CARPORT #1,Missoula
2014-MSS-COM-00342,04220032402230000,2014-12-02,4015 RUSSELL ST,1,Commercial Construction,BNCON,CARPORT #1,Missoula
2014-MSS-COM-00343,04220032402220000,2014-12-02,4015 RUSSELL ST,1,Commercial Construction,BNCON,CARPORT #2,Missoula
2014-MSS-COM-00343,04220032402230000,2014-12-02,4015 RUSSELL ST,1,Commercial Construction,BNCON,CARPORT #2,Missoula
2014-MSS-COM-00344,04220032402220000,2014-12-02,4015 RUSSELL ST,1,Commercial Construction,BNCON,CARPORT #3,Missoula
2014-MSS-COM-00344,04220032402230000,2014-12-02,4015 RUSSELL ST,1,Commercial Construction,BNCON,CARPORT #3,Missoula
2014-MSS-COM-00347,04220029387170000,2014-12-11,2305 MOUNT AVE,4,Commercial Construction,BNMRA,"LOTS 1-4 + E1/2 LOT 5, CAR LINE ADDITION, BLOCK 2",Missoula
2014-MSS-COM-00347,04220029387190000,2014-12-11,2305 MOUNT AVE,4,Commercial Construction,BNMRA,"LOTS 1-4 + E1/2 LOT 5, CAR LINE ADDITION, BLOCK 2",Missoula
2014-MSS-RES-00006,04220014223130000,2014-05-07,1115 SPRINGS PL,1,Residential Construction,BNSFR,LOT D PARK ADDT BLK 22,Missoula
2014-MSS-RES-00035,04219912204250000,2014-03-11,2452 SNAFFLE BIT WAY,1,Residential Construction,BNSFR,LOT 220 44 RANCH PHASE 1 & 2,Missoula
2014-MSS-RES-00038,04209213207530000,2014-02-04,5035 JEFF DR,1,Residential Construction,None,LOT 35 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00039,04220016323150000,2014-02-07,1611 HOWELL ST,1,Residential Construction,None,,Missoula
2014-MSS-RES-00045,04219912102255013,2014-02-26,2587 FREEDOM LP,1,Residential Construction,None,ENVELOPE #13A,Missoula
2014-MSS-RES-00046,04219912102255014,2014-03-18,2579 FREEDOM LP,1,Residential Construction,None,ENVELOPE #15A,Missoula
2014-MSS-RES-00048,04220016430140000,2014-02-14,628 HOWELL ST,1,Residential Construction,None,LOT 14A SCHOOL ADDITION,Missoula
2014-MSS-RES-00050,04219912102255016,2014-02-26,2571 FREEDOM LP,1,Residential Construction,None,FLYNN RANCH COTTAGES ENVEL. #17,Missoula
2014-MSS-RES-00051,04219912102255017,2014-02-26,2567 FREEDOM LP,1,Residential Construction,None,ENVELOPE #18,Missoula
2014-MSS-RES-00060,04209304302070000,2014-03-17,5107 PINTLAR MOUNTAIN CT,1,Residential Construction,BNSFR,MANSION HEIGHTS PHASE 1 LOT 107,Missoula
2014-MSS-RES-00061,04220019110230000,2014-03-31,2515 RED OSIER CT,1,Residential Construction,None,LOT 5 GROVE STREET MANOR,Missoula
2014-MSS-RES-00062,04219914109420000,2014-03-12,1694 SHINDIG DR,1,Residential Construction,None,,Missoula
2014-MSS-RES-00071,04220020217260000,2014-03-14,2310 RIVERSTONE DR,1,Residential Construction,None,RIVER PLACE LOT #4,Missoula
2014-MSS-RES-00078,04220014209090000,2014-03-13,2212 GILBERT AVE,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00081,04220015318050000,2014-03-19,716 N 04TH ST W,1,Residential Construction,None,,Missoula
2014-MSS-RES-00085,04220118303270000,2014-03-14,1027 ANGLERS BEND WAY,1,Residential Construction,None,LOT 15 CANYON RIVER,Missoula
2014-MSS-RES-00087,04220015106200000,2014-03-20,2911 HIGHLAND DR,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00094,04220029191240000,2014-03-19,1621 S 7TH ST W,1,Residential Construction,None,"DALY'S ADDITION, BLOCK 26, LOT 6A",Missoula
2014-MSS-RES-00096,04220118303350000,2014-03-21,1040 ANGLERS BEND WAY,1,Residential Construction,None,LOT 135 CANYON RIVER PHASE 3,Missoula
2014-MSS-RES-00101,04209213207300000,2014-03-28,6805 ALISHA DR,1,Residential Construction,None,LOT 1 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00106,04220006209020000,2014-04-22,4309 POTTER PARK CT,1,Residential Construction,BNSFR,LOT D2 WINDSOR PARK PH7,Missoula
2014-MSS-RES-00111,04220028110140000,2014-07-25,520 PLYMOUTH ST,1,Residential Construction,None,,Missoula
2014-MSS-RES-00117,04219912204210000,2014-04-10,2441 SNAFFLE BIT WAY,1,Residential Construction,BNSFR,44 RANCH LOT 218,Missoula
2014-MSS-RES-00119,04219914109120000,2014-04-01,1691 SHINDIG DR,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00124,04220029248650000,2014-04-02,1055 KEMP ST,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00127,04220019110220000,2014-03-31,2509 RED OSIER CT,1,Residential Construction,BNSFR,LOT 4 GROVE STREET MANOR,Missoula
2014-MSS-RES-00128,04209305218250000,2014-04-17,1258 COLTER CT,1,Residential Construction,BNSFR,LANDON'S WAY PHASE 2 LOT 9,Missoula
2014-MSS-RES-00130,04209213207340000,2014-04-02,4835 JEFF DR,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00140,04209213208140000,2014-04-04,6987 ALISHA DR,1,Residential Construction,BNSFR,LOT 14 LINDA VISTA 13TH,Missoula
2014-MSS-RES-00141,04209213207160000,2014-04-07,4900 JEFF DR,1,Residential Construction,BNSFR,LOT 15 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00147,04219924405100000,2014-05-30,3410 S 3RD ST W,1,Residential Construction,None,LOT 19 ORCHARD HOMES #5,Missoula
2014-MSS-RES-00148,04209213208160000,2014-04-10,6979 ALISHA DR,1,Residential Construction,BNSFR,LOT 16 LINDA VISTA 13TH,Missoula
2014-MSS-RES-00164,04209213208250000,2014-04-30,7123 JOY DR,1,Residential Construction,BNSFR,LOT 25 LINDA VISTA 13TH SUPP,Missoula
2014-MSS-RES-00177,04209304307420000,2014-05-07,420 SPANISH PEAKS DR,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00180,04209213207110000,2014-04-22,6999 ALISHA DR,1,Residential Construction,BNSFR,LOT 20 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00181,04220028427180000,2014-04-30,143 KENSINGTON AVE,1,Residential Construction,BNSFR,Detached ADU Conditional Use,Missoula
2014-MSS-RES-00184,04219910307240000,2014-05-20,2971 RUSTLER DR,1,Residential Construction,BNSFR,LOT 99 RANCH CLUB  PH 4-5,Missoula
2014-MSS-RES-00191,04220029226130000,2014-05-12,1204 LINNEA LN APT A,1,Residential Construction,BNSFT,,Missoula
2014-MSS-RES-00192,04220029226120000,2014-05-12,1204 LINNEA LN APT B,1,Residential Construction,BNSFT,,Missoula
2014-MSS-RES-00193,04220029226110000,2014-05-12,1216 LINNEA LN APT A,1,Residential Construction,BNSFT,,Missoula
2014-MSS-RES-00194,04220029226100000,2014-05-12,1216 LINNEA LN APT B,1,Residential Construction,BNSFT,,Missoula
2014-MSS-RES-00216,04209213207380000,2014-06-06,4875 JEFF DR,1,Residential Construction,BNSFR,LOT 50 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00217,04219914403280000,2014-05-13,1525 ANGELINA WAY,1,Residential Construction,BNSFR,LOT 33 RIVERWALK ESTATES,Missoula
2014-MSS-RES-00222,04219914403020000,2014-05-21,6612 W KIKI CT,1,Residential Construction,BNSFR,LOT 12 RIVER WALK ESTATES SOUTH,Missoula
2014-MSS-RES-00225,04209307202240000,2014-09-04,2320 57TH ST,1,Residential Construction,BNSFR,LOT 8A RYAN ADD BLK 3,Missoula
2014-MSS-RES-00226,04209307202240000,2014-09-04,2320 57TH ST,1,Residential Construction,BNSFR,LOT 8A RYAN ADD BLK 3,Missoula
2014-MSS-RES-00227,04219910304750000,2014-05-23,2828 RUSTLER DR,1,Residential Construction,BNSFR,LOT 75 RANCH CLUB,Missoula
2014-MSS-RES-00246,04220028101050000,2014-05-30,813 BROOKS ST,1,Residential Construction,BNSFR,LOT 21 & 22 SOUTH MISSOULA ADDITION,Missoula
2014-MSS-RES-00250,04219914109380000,2014-05-16,1702 SHINDIG DR,1,Residential Construction,BNSFR,LOT 19 THE VALLEY,Missoula
2014-MSS-RES-00257,04219914103070000,2014-05-28,1750 DINO CT,1,Residential Construction,BNSFR,LOT 6D DINO ESTATES,Missoula
2014-MSS-RES-00260,04209213208030000,2014-05-20,6918 ALISHA DR,1,Residential Construction,BNSFR,LINDA VISTA LOT 3 PHASE 13,Missoula
2014-MSS-RES-00264,04220014209150000,2014-05-13,1207 GILBERT CT,1,Residential Construction,BNSFR,LOT 7 SCHOOLHOUSE,Missoula
2014-MSS-RES-00267,04219912207160000,2014-06-02,5478 HORN RD,1,Residential Construction,BNSFR,LOT 109 44 RANCH ESTATES PH 7A,Missoula
2014-MSS-RES-00277,04209213207460000,2014-05-20,4965 JEFF DR,1,Residential Construction,BNSFR,LOT 42 JEFF DRIVE,Missoula
2014-MSS-RES-00280,04209213207370000,2014-05-30,4865 JEFF DR,1,Residential Construction,BNSFR,LOT 51 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00281,04209213207360000,2014-05-30,4855 JEFF DR,1,Residential Construction,BNSFR,LOT 52 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00290,04220118303330000,2014-06-26,1028 ANGLERS BEND WAY,1,Residential Construction,BNSFR,LOT 133 CANYON RIVER PH 3,Missoula
2014-MSS-RES-00303,04220019314010000,2014-05-30,505 VERANDA WAY,1,Residential Construction,BNSFR,LOT 1 TERRACES ON 3RD ST,Missoula
2014-MSS-RES-00304,04220019314020000,2014-05-30,525 VERANDA WAY,1,Residential Construction,BNSFR,LOT 2 TERRACES ON 3RD ST,Missoula
2014-MSS-RES-00305,04220019314030000,2014-05-30,545 VERANDA WAY,1,Residential Construction,BNSFR,LOT 3 TERRACES ON 3RD ST,Missoula
2014-MSS-RES-00311,04209213207280000,2014-05-29,6819 ALISHA DR,1,Residential Construction,BNSFR,LOT 3 LINDA VISTA 12TH,Missoula
2014-MSS-RES-00314,04219914403640000,2014-06-02,6528 E KIKI CT,1,Residential Construction,BNSFR,LOT 15 RIVER WALK ESTATES,Missoula
2014-MSS-RES-00328,04220006209090000,2014-06-02,4310 POTTER PARK CT,1,Residential Construction,BNSFR,LOT D9 WINDSOR PARK PH 7,Missoula
2014-MSS-RES-00336,04219912206110000,2014-06-11,5135 FILLY LN,1,Residential Construction,BNSFR,44 RANCH LOT 205,Missoula
2014-MSS-RES-00339,04220023209280000,2014-06-02,1525 JACKSON ST,1,Residential Construction,BNSFR,LOT 8A JACKSON ST PARKSIDE ADDN,Missoula
2014-MSS-RES-00346,04219910308160000,2014-06-30,2805 CAMPSITE PL,1,Residential Construction,BNSFR,LOT 19 RANCH CLUB,Missoula
2014-MSS-RES-00358,04220019314040000,2014-06-12,565 VERANDA WAY,1,Residential Construction,BNSFR,LOT 4 TERRACE ON 3RD ST,Missoula
2014-MSS-RES-00362,04220012307050000,2014-06-18,3545 LINCOLN HILLS POINT,1,Residential Construction,BNSFR,LOT 2 LINCOLN HILLS PLACE,Missoula
2014-MSS-RES-00366,04209213207540000,2014-06-13,5045 JEFF DR,1,Residential Construction,BNSFR,LOT 34 LINDA VISTA PHASE 12,Missoula
2014-MSS-RES-00367,04219912102440000,2014-06-12,2545 GRANARY RD,1,Residential Construction,BNSFR,LOT 9,Missoula
2014-MSS-RES-00387,04219924405340000,2014-07-23,420 STONYBROOK DR,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00398,04220006108240000,2014-06-18,4214 DEVERAUX PL,1,Residential Construction,BNSFR,WINDSOR PARK PH 6 LOT A59,Missoula
2014-MSS-RES-00399,04220006108240000,2014-06-18,4214 DEVERAUX PL,1,Residential Construction,BNSFR,WINDSOR PARK PH 6 LOT A59,Missoula
2014-MSS-RES-00411,04209213208240000,2014-06-30,7131 JOY DR,1,Residential Construction,BNSFR,LOT 24 LINDA VISTA 13TH SUPP,Missoula
2014-MSS-RES-00413,04220033120070000,2014-06-16,2705 THAMES ST,1,Residential Construction,BNSFR,LOTS 11 & 12 BECK HOME ADD BLK 12,Missoula
2014-MSS-RES-00416,04209213208200000,2014-09-10,7163 JOY DR,1,Residential Construction,BNSFR,LOT 20 LINDA VISTA 13TH SUPP,Missoula
2014-MSS-RES-00419,04219912206070000,2014-07-23,5119 FILLY LN,1,Residential Construction,BNSFR,LOT 207 44 RANCH PH 8,Missoula
2014-MSS-RES-00422,04209305101090000,2014-08-08,1019 WHITAKER DR,1,Residential Construction,BNSFR,LOT 2 CLAUDIE HGTS,Missoula
2014-MSS-RES-00430,04220019117290000,2014-07-29,2728 EMERY PL,1,Residential Construction,BNSFR,LOT 15 MAPLE BROOK,Missoula
2014-MSS-RES-00432,04219924405330000,2014-07-14,400 STONYBROOK DR,1,Residential Construction,BNSFR,LOT 12A STONYBROOK PH 1,Missoula
2014-MSS-RES-00459,04209213207450000,2014-07-11,4955 JEFF DR,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00464,04209305104110000,2014-07-23,707 PARKVIEW WAY,1,Residential Construction,BNSFR,LOT 3B HIGH PARK #1 BLK 16,Missoula
2014-MSS-RES-00465,04220023207160000,2014-08-07,1132 1/2 JACKSON ST,1,Residential Construction,BNSFR,LOT 4 PARKSIDE ADD,Missoula
2014-MSS-RES-00467,04219912102510000,2014-07-15,2502 GRANARY RD,1,Residential Construction,BNSFR,LOT 16 FLYNN RANCH,Missoula
2014-MSS-RES-00468,04219912102500000,2014-07-15,2508 GRANARY RD,1,Residential Construction,BNSFR,LOT 17 FLYNN RANCH,Missoula
2014-MSS-RES-00478,04219910308170000,2014-08-07,2817 CAMPSITE PL,1,Residential Construction,BNSFR,LOT 120 CAMPSITE,Missoula
2014-MSS-RES-00479,04219912207040000,2014-08-20,5440 RESISTOL LN,1,Residential Construction,BNSFR,LOT 97 44 RANCH,Missoula
2014-MSS-RES-00481,04220118303320000,2014-07-29,1022 ANGLERS BEND WAY,1,Residential Construction,BNSFR,LOT 132 CANYON RIVER,Missoula
2014-MSS-RES-00482,04219910307220000,2014-07-18,2943 RUSTLER DR,1,Residential Construction,BNSFR,LOT 97 RANCH CLUB PH 4 & 5,Missoula
2014-MSS-RES-00498,04220029203310000,2014-10-31,2131 S 14TH ST W,1,Residential Construction,BNSFR,"LOT 5,6,7 & 8 DALY ADDN",Missoula
2014-MSS-RES-00499,04220029203320000,2014-10-31,2130 MOUNT AVE,1,Residential Construction,BNSFR,"LOT 5, 6,7 & 8 DALY ADDN BLDG B",Missoula
2014-MSS-RES-00511,04219910301180000,2014-07-31,2615 WEDGEWOOD CT,1,Residential Construction,BNSFR,LOT 18 PHANTOM HILLS,Missoula
2014-MSS-RES-00519,04219914403300000,2014-08-14,1517 ANGELINA WAY,1,Residential Construction,BNSFR,LOT 32 RIVERWALK,Missoula
2014-MSS-RES-00536,04209213207330000,2014-07-29,4825 JEFF DR,1,Residential Construction,BNSFR,LINDA VISTA 12 SUPP LOT 55,Missoula
2014-MSS-RES-00539,04220021326090000,2014-09-10,1219 S 03RD ST W,1,Residential Construction,BNSFR,,Missoula
2014-MSS-RES-00548,04219912207010000,2014-07-31,2525 TENDERFOOT WAY,1,Residential Construction,BNSFR,LOT 94 44 RANCH PHASE 7A,Missoula
2014-MSS-RES-00567,04209213208310000,2014-08-07,7065 JOY DR,1,Residential Construction,BNSFR,LOT 31 LINDA VISTA 13TH,Missoula
2014-MSS-RES-00568,04209213208300000,2014-08-29,7075 JOY DR,1,Residential Construction,BNSFR,LOT 30 LINDA VISTA 13TH,Missoula
2014-MSS-RES-00569,04219912102255019,2014-08-13,2559 FREEDOM LP,1,Residential Construction,BNSFR,ENVELOPE #19,Missoula
2014-MSS-RES-00570,04219912102255021,2014-08-13,2545 FREEDOM LP,1,Residential Construction,BNSFR,ENVELOPE #21,Missoula
2014-MSS-RES-00584,04220014318070000,2014-09-04,531 EVANKELLY RD,1,Residential Construction,BNSFR,LOT 6 B-OP1,Missoula
2014-MSS-RES-00594,04209213208190000,2014-08-25,7171 JOY DR,1,Residential Construction,BNSFR,LOT 19 LINDA VISTA 13TH,Missoula
2014-MSS-RES-00620,04219912207120000,2014-08-25,5438 HORN RD,1,Residential Construction,BNSFR,LOT 105 44 RANCH,Missoula
2014-MSS-RES-00628,04220019314050000,2014-11-10,585 VERANDA WAY,1,Residential Construction,BNSFR,LOT 5 TERRACES ON 3RD,Missoula
2014-MSS-RES-00636,04219914403660000,2014-09-05,6540 E KIKI CT,1,Residential Construction,BNSFR,LOT 14 RIVERWALK ESTATES PH 1,Missoula
2014-MSS-RES-00657,04209213208090000,2014-09-04,6966 ALISHA DR,1,Residential Construction,BNSFR,LOT 9 LINDA VISTA 13TH,Missoula
2014-MSS-RES-00663,04219924405230000,2014-09-22,415 STONYBROOK DR,1,Residential Construction,BNSFR,LOT 33 STONYBROOK,Missoula
2014-MSS-RES-00669,04220118305260000,2014-09-11,774 ANGLERS BEND WAY,1,Residential Construction,BNSFR,LOT 73 CANYON RIVER PHASE 2,Missoula
2014-MSS-RES-00678,04219912207050000,2014-09-17,5445 HORN RD,1,Residential Construction,BNSFR,LOT 98 44 RANCH,Missoula
2014-MSS-RES-00684,04220032261140000,2014-09-18,2304 DEARBORN AVE,1,Residential Construction,BNSFR,LOT 42A CARLINE ADD,Missoula
2014-MSS-RES-00686,04220118305090000,2014-09-25,1012 BANDMANN TRL,1,Residential Construction,BNSFR,LOT 9B CANYON RVR PH2,Missoula
2014-MSS-RES-00703,04220029368100000,2014-09-19,2308-B STRAND AVE,1,Residential Construction,BNSFT,LOT 26 CARLINE BLK 3,Missoula
2014-MSS-RES-00704,04220029368100000,2014-09-19,2308-A STRAND AVE,1,Residential Construction,BNSFT,LOT 27 CARLINE BLK 3,Missoula
2014-MSS-RES-00715,04220019409140000,2014-09-18,626 PRESTON ST,1,Residential Construction,BNSFR,LOT 5 THE ORCHARD,Missoula
2014-MSS-RES-00738,04209305218140000,2014-11-20,4601 MACIE WAY,1,Residential Construction,BNSFR,LOT 10 LANDONS WAY,Missoula
2014-MSS-RES-00765,04220015320070000,2014-11-06,823 N 6TH ST W,1,Residential Construction,BNSFR,LOT 8A URLINS ADD BLK 65,Missoula
2014-MSS-RES-00776,04219914109180000,2014-10-30,1703 SHINDIG DR,1,Residential Construction,BNSFR,LOT 9 THE VALLEY,Missoula
2014-MSS-RES-00800,04220014210010000,2014-10-14,2250 RAYMOND AVE,1,Residential Construction,BNSFR,,Missoula
