permit_number,geocode,permit_issued_date,address,dwellings,construction_type,permit_type,description,city
2013-MSS-COM-00127,04220021340287100,2013-07-01,1335 DAKOTA ST,1,Commercial Construction,None,,Missoula
2013-MSS-COM-00128,04220006101910000,2013-08-30,4971 POTTER PARK LP,4,Commercial Construction,None,LOT D7 WINDSOR PARK PHASE 4,Missoula
2013-MSS-COM-00134,04220118302010000,2013-07-08,361 DEER CREEK RD,1,Commercial Construction,None,MOUNTAIN WATER PUMP HOUSE,Missoula
2013-MSS-COM-00148,04220016101310000,2013-07-23,1014 A/B/C/D COOLEY ST,4,Commercial Construction,None,LOT 28 BLK 15 SCHOOL ADD,Missoula
2013-MSS-COM-00153,04220021204050000,2013-07-15,900 CREGG LN,1,Commercial Construction,None,SILVER PARK PAVALION,Missoula
2013-MSS-COM-00154,04220021204050000,2013-07-15,900 CREGG LN,1,Commercial Construction,None,SILVER PARK FAMILY SHELTER,Missoula
2013-MSS-COM-00155,04220021204050000,2013-07-15,900 CREGG LN,1,Commercial Construction,None,SILVER PARK RESTROOM,Missoula
2013-MSS-COM-00162,04220021204050000,2013-07-15,900 CREGG LN,1,Commercial Construction,None,SILVER PARK UTILITY SHED,Missoula
2013-MSS-COM-00182,04220032301550000,2013-09-05,3650 BROOKS ST,1,Commercial Construction,None,CABELA'S,Missoula
2013-MSS-COM-00189,04220021218020000,2013-10-10,1110 W BROADWAY,1,Commercial Construction,None,POVERELLO CENTER,Missoula
2013-MSS-COM-00189,04220021218030000,2013-10-10,1110 W BROADWAY,1,Commercial Construction,None,POVERELLO CENTER,Missoula
2013-MSS-COM-00189,04220021218040000,2013-10-10,1110 W BROADWAY,1,Commercial Construction,None,POVERELLO CENTER,Missoula
2013-MSS-COM-00202,04220021140020000,2013-09-06,915 TOOLE AVE,1,Commercial Construction,None,DRAUGHT WORKS LLC,Missoula
2013-MSS-COM-00262,04220018401160000,2013-11-07,3645-B CLARK FORK WAY,1,Commercial Construction,None,MINI STORAGE BLDG B - LOT B CONCRETE ADDITION,Missoula
2013-MSS-COM-00263,04220018401160000,2013-11-07,3645-C CLARK FORK WAY,1,Commercial Construction,None,MINI STORAGE BLDG C - LOT B CONCRETE ADDITION,Missoula
2013-MSS-COM-00273,04220027103030000,2013-12-26,1 CAMPUS DR,1,Commercial Construction,None,UM TELECOM EQUIPMENT FACILITY,Missoula
2013-MSS-COM-00276,04220018202077000,2013-10-22,4100 MSTR MULLAN RD,1,Commercial Construction,None,CARPORT #9,Missoula
2013-MSS-COM-00277,04220018202077000,2013-10-22,4100 MSTR MULLAN RD,1,Commercial Construction,None,CARPORT #8,Missoula
2013-MSS-COM-00278,04220018202077000,2013-10-22,4100 MSTR MULLAN RD,1,Commercial Construction,None,CARPORT #19,Missoula
2013-MSS-RES-00006,04220118305520000,2013-01-14,741 ANGLERS BEND WAY,1,Residential Construction,None,,Missoula
2013-MSS-RES-00012,04209213207020000,2013-02-11,5040 JEFF DR,1,Residential Construction,None,LOT 29 LINDA VISTA PH 12,Missoula
2013-MSS-RES-00013,04220019117150000,2013-02-01,2719 EMERY PL,1,Residential Construction,None,LOT 8 MAPLEBROOK ESTATES,Missoula
2013-MSS-RES-00016,04220019409170000,2013-02-06,664 PRESTON ST,1,Residential Construction,None,LOT 8 ORCHARD PHASE 1,Missoula
2013-MSS-RES-00020,04220015402060000,2013-03-19,1805 TRAYNOR DR,1,Residential Construction,None,,Missoula
2013-MSS-RES-00023,04220019409180000,2013-02-19,658 PRESTON ST,1,Residential Construction,None,"LOT 9, THE ORCHARD PHASE I",Missoula
2013-MSS-RES-00026,04219914109340000,2013-03-04,1710 SHINDIG DR,1,Residential Construction,None,LOT 17 THE VALLEY,Missoula
2013-MSS-RES-00040,04220006208090000,2013-02-20,4245 MUGGLE LN,1,Residential Construction,None,LOT A95 WINDSOR PARK PH 5,Missoula
2013-MSS-RES-00041,04220006208090000,2013-02-20,4245 MUGGLE LN,1,Residential Construction,None,LOT 95 WINDSOR PARK PH 5,Missoula
2013-MSS-RES-00043,04220014310120000,2013-03-22,2525 WOODLAND AVE,1,Residential Construction,None,LOT 22 ORRSDALE,Missoula
2013-MSS-RES-00044,04220014310120000,2013-03-21,2525 WOODLAND AVE,1,Residential Construction,None,LOT 22 ORRSDALE,Missoula
2013-MSS-RES-00050,04209213207100000,2013-03-07,4960 JEFF DR,1,Residential Construction,None,LOT 21 LINDA VISTA 12TH SUPPLEMENT,Missoula
2013-MSS-RES-00064,04220021444140000,2013-07-02,432  S 1ST ST W,1,Residential Construction,None,LOTS 3-5 KNOWLES ADD,Missoula
2013-MSS-RES-00074,04220015313110000,2013-03-21,625 N 04TH ST W,1,Residential Construction,None,,Missoula
2013-MSS-RES-00077,04220016430020000,2013-03-13,622 HOWELL ST,1,Residential Construction,None,LOT 13A SCHOOL ADD AMENDED PLAT BLOCK 10 LOTS 13 & 14,Missoula
2013-MSS-RES-00080,04219914103050000,2013-03-28,1730 DINO CT,1,Residential Construction,None,LOT 8 DINOS ESTATES,Missoula
2013-MSS-RES-00087,04220016423200000,2013-03-13,725 HOWELL ST,1,Residential Construction,None,,Missoula
2013-MSS-RES-00091,04220006108140000,2013-03-20,4207 A DEVERAUX PL,1,Residential Construction,None,,Missoula
2013-MSS-RES-00092,04220006108140000,2013-03-20,4207 A DEVERAUX PL,1,Residential Construction,None,,Missoula
2013-MSS-RES-00093,04220006108130000,2013-03-20,4207 B DEVERAUX PL,1,Residential Construction,None,,Missoula
2013-MSS-RES-00094,04220006108130000,2013-03-20,4207 B DEVERAUX PL,1,Residential Construction,None,,Missoula
2013-MSS-RES-00098,04209213207490000,2013-04-26,4995 JEFF DR,1,Residential Construction,None,LOT 39 LINDA VISTA 12TH SUPPLEMENT,Missoula
2013-MSS-RES-00104,04219912102420000,2013-04-15,2533 GRANARY RD,1,Residential Construction,None,"LOT 11, FLYNN RANCH PH 2",Missoula
2013-MSS-RES-00105,04219912102430000,2013-04-15,2539 GRANARY RD,1,Residential Construction,None,"LOT 10, FLYNN RANCH PH 2",Missoula
2013-MSS-RES-00106,04219912102360000,2013-04-15,2509 A GRANARY RD,1,Residential Construction,None,,Missoula
2013-MSS-RES-00107,04219912102370000,2013-04-15,2509 B GRANARY RD,1,Residential Construction,None,,Missoula
2013-MSS-RES-00108,04219912102380000,2013-04-15,2515 A GRANARY RD,1,Residential Construction,None,,Missoula
2013-MSS-RES-00109,04219912102390000,2013-04-15,2515 B GRANARY RD,1,Residential Construction,None,,Missoula
2013-MSS-RES-00112,04219912102255008,2013-04-15,2580 FREEDOM LP,1,Residential Construction,None,UNIT 8 OF THE COTTAGES AT FLYNN RANCH TOWNHOMES PHASE 1,Missoula
2013-MSS-RES-00113,04219912102255010,2013-04-15,2572 FREEDOM LP,1,Residential Construction,None,UNIT 10 OF THE COTTAGES AT FLYNN RANCH TOWNHOMES PHASE 1,Missoula
2013-MSS-RES-00114,04219912102255007,2013-04-15,2584 FREEDOM LP,1,Residential Construction,None,UNIT 7 OF THE COTTAGES AT FLYNN RANCH TOWNHOMES PHASE 1,Missoula
2013-MSS-RES-00115,04219912102255009,2013-04-15,2576 FREEDOM LP,1,Residential Construction,None,UNIT 9 OF THE COTTAGES AT FLYNN RANCH TOWNHOMES PHASE 1,Missoula
2013-MSS-RES-00150,04220021317010000,2013-05-10,1342 S 05TH ST W,1,Residential Construction,None,,Missoula
2013-MSS-RES-00151,04209213207040000,2013-05-01,5020 JEFF DR,1,Residential Construction,None,LOT 27 LINDA VISTA 12TH SUPP,Missoula
2013-MSS-RES-00160,04220014223160000,2013-04-29,2010 RAYMOND AVE,1,Residential Construction,None,PARK ADDITION BLOCK 22 LOT 3 - NHN RAYMOND,Missoula
2013-MSS-RES-00161,04220020217280000,2013-05-06,2320 RIVERSTONE DR,1,Residential Construction,None,LOT 3 RIVER PLACE,Missoula
2013-MSS-RES-00177,04220029191250000,2013-05-02,1627 S 7TH ST W,1,Residential Construction,None,LOT 8A BLK 26 DALY ADD,Missoula
2013-MSS-RES-00191,04209305101070000,2013-08-02,1017 WHITAKER DR,1,Residential Construction,None,TRACT A COS 5814,Missoula
2013-MSS-RES-00197,04220002301140000,2013-05-03,5001 RATTLESNAKE DR,1,Residential Construction,None,,Missoula
2013-MSS-RES-00210,04219912205050000,2013-05-06,5320 HORN RD,1,Residential Construction,None,LOT 64 44 RANCH PHASE 5,Missoula
2013-MSS-RES-00214,04220021436080000,2013-05-29,615 S 1ST ST W,3,Residential Construction,None,,Missoula
2013-MSS-RES-00221,04220006108470000,2013-05-16,4226 HERMIONE LN,1,Residential Construction,None,LOT A82 WINDSOR PARK PH 6,Missoula
2013-MSS-RES-00223,04219910308220000,2013-07-29,2918 CAMPSITE PL,1,Residential Construction,None,LOT 124 & 125 THE RANCH CLUB,Missoula
2013-MSS-RES-00228,04220014104080000,2013-05-15,1420 PRAIRIE WAY,1,Residential Construction,None,"COS 5692, LOTS 1 + 1A",Missoula
2013-MSS-RES-00229,04220014104080000,2013-05-15,1420 PRAIRIE WAY,1,Residential Construction,None,"COS 5692, LOTS 1 + 1A",Missoula
2013-MSS-RES-00240,04220020217240000,2013-05-15,880 RIVER PL,1,Residential Construction,None,LOT 6 RIVER PLACE,Missoula
2013-MSS-RES-00243,04220022229080000,2013-05-20,431 E PINE ST,1,Residential Construction,None,,Missoula
2013-MSS-RES-00254,04209213207290000,2013-05-17,6811 ALISHA DR,1,Residential Construction,None,,Missoula
2013-MSS-RES-00259,04220028212030000,2013-05-22,833 WOODFORD AVE,1,Residential Construction,None,"LOT 17 & 18, BLOCK 71, SOUTH MISSOULA ADDITION",Missoula
2013-MSS-RES-00262,04209213207030000,2013-05-16,5030 JEFF DR,1,Residential Construction,None,LOT 28 LINDA VISTA 12TH,Missoula
2013-MSS-RES-00263,04220029226190000,2013-07-24,1207 LINNEA LN APT A,1,Residential Construction,None,,Missoula
2013-MSS-RES-00264,04220029226200000,2013-07-24,1207 LINNEA LN APT B,1,Residential Construction,None,,Missoula
2013-MSS-RES-00265,04220029226210000,2013-07-24,1219 LINNEA LN APT A,1,Residential Construction,None,,Missoula
2013-MSS-RES-00266,04220029226220000,2013-07-24,1219 LINNEA LN APT B,1,Residential Construction,None,,Missoula
2013-MSS-RES-00270,04209213207470000,2013-06-07,4975 JEFF DR,1,Residential Construction,None,LOT 41 LINDA VISTA 12TH,Missoula
2013-MSS-RES-00271,04220006108330000,2013-05-22,4221 HERMIONE LN,1,Residential Construction,None,LOT A68 WINDSOR PARK PH 6,Missoula
2013-MSS-RES-00272,04220006108330000,2013-05-22,4221 HERMIONE LN,1,Residential Construction,None,LOT A68 WINDSOR PARK PH 6,Missoula
2013-MSS-RES-00273,04220006208060000,2013-05-29,4231 MUGGLE LN,1,Residential Construction,None,LOT A92 WINDSOR PARK PH 5,Missoula
2013-MSS-RES-00274,04220006208060000,2013-05-29,4231 MUGGLE LN,1,Residential Construction,None,LOT A92 WINDSOR PARK PH 5,Missoula
2013-MSS-RES-00280,04220006108190000,2013-05-29,4236 DEVERAUX PL,1,Residential Construction,None,LOT A54 WINDSOR PARK,Missoula
2013-MSS-RES-00282,04209213207050000,2013-05-21,5010 JEFF DR,1,Residential Construction,None,LINDA VISTA 12 SUPP LOT 26,Missoula
2013-MSS-RES-00284,04219912205330000,2013-05-20,5333 HORN RD,1,Residential Construction,None,LOT 78A 44 RANCH,Missoula
2013-MSS-RES-00286,04220028110130000,2013-05-23,510 PLYMOUTH ST,1,Residential Construction,None,,Missoula
2013-MSS-RES-00304,04220006208100000,2013-05-22,4249 MUGGLE LN,1,Residential Construction,None,LOT A96 WINDSOR PARK PHASE 5,Missoula
2013-MSS-RES-00305,04220006208100000,2013-05-22,4249 MUGGLE LN,1,Residential Construction,None,LOT A96 WINDSOR PARK PHASE 5,Missoula
2013-MSS-RES-00310,04219912205510000,2013-07-08,5330 RESISTOL LN,1,Residential Construction,None,LOT 87A 44 RANCH ESTATES,Missoula
2013-MSS-RES-00311,04219912205530000,2013-07-16,5346 RESISTOL LN,1,Residential Construction,None,LOT 88A 44 RANCH ESTATES,Missoula
2013-MSS-RES-00316,04220006208130000,2013-06-25,4265 MUGGLE LN,1,Residential Construction,None,WINDSOR PARK PHASE 5 LOT A99,Missoula
2013-MSS-RES-00319,04209213207010000,2013-06-07,5050 JEFF DR,1,Residential Construction,None,LOT 30 LINDA VISTA 12TH SUPPLEMENT,Missoula
2013-MSS-RES-00338,04220010101150000,2013-07-01,3650 DUNCAN DR,1,Residential Construction,None,"STONEHORSE ESTATES, LOT 1",Missoula
2013-MSS-RES-00348,04220029147270000,2013-06-13,1741 S 10TH ST W,1,Residential Construction,None,,Missoula
2013-MSS-RES-00354,04220029236060000,2013-06-07,2130 S 11TH ST W,1,Residential Construction,None,,Missoula
2013-MSS-RES-00355,04219912102340000,2013-06-14,2503 A GRANARY RD,1,Residential Construction,None,"FLYNN RANCH, PHASE II, LOT #15B",Missoula
2013-MSS-RES-00356,04219912102350000,2013-06-14,2503 B GRANARY RD,1,Residential Construction,None,"FLYNN RANCH, PHASE II, LOT #15A",Missoula
2013-MSS-RES-00360,04220118305290000,2013-06-18,756 ANGLERS BEND WAY,1,Residential Construction,None,LOT 76 CANYON RIVER PH 2,Missoula
2013-MSS-RES-00365,04209213207250000,2013-06-11,4810 JEFF DR,1,Residential Construction,None,,Missoula
2013-MSS-RES-00389,04220118305190000,2013-06-17,5468 CANYON RIVER RD,1,Residential Construction,None,LOT 102A CANYON RIVER,Missoula
2013-MSS-RES-00404,04209213207420000,2013-07-10,4915 JEFF DR,1,Residential Construction,None,LOT 46 LINDA VISTA TWELTH SUPPLEMENT,Missoula
2013-MSS-RES-00408,04209211207090000,2013-06-24,6008 HOBSON LN,1,Residential Construction,None,"MALONEY RANCH, PHASE 7, LOT #86",Missoula
2013-MSS-RES-00415,04220029325070000,2013-06-07,2314 W CENTRAL AVE,1,Residential Construction,None,,Missoula
2013-MSS-RES-00432,04219912205110000,2013-07-03,5344 HORN RD,1,Residential Construction,None,44 RANCH PHASE 5 LOT 67,Missoula
2013-MSS-RES-00433,04219912102410000,2013-07-10,2527 GRANARY RD,1,Residential Construction,None,FLYNN RANCH PHASE II LOT #12,Missoula
2013-MSS-RES-00434,04219912102400000,2013-07-29,2521 GRANARY RD,1,Residential Construction,None,FLYNN RANCH PHASE II LOT #13C,Missoula
2013-MSS-RES-00436,04220019117130000,2013-07-10,2723 EMERY PL,1,Residential Construction,None,LOT 7 MAPLE BROOK ESTATES,Missoula
2013-MSS-RES-00438,04220019409200000,2013-08-05,674 PRESTON ST,1,Residential Construction,None,"THE ORCHARD, PHASE I, LOT 11",Missoula
2013-MSS-RES-00439,04220019409160000,2013-06-28,642 PRESTON ST,1,Residential Construction,None,THE ORCHARD PHASE I LOT # 7,Missoula
2013-MSS-RES-00446,04220118305530000,2013-06-17,749 ANGLERS BEND WAY,1,Residential Construction,None,,Missoula
2013-MSS-RES-00452,04219910308110000,2013-06-27,3059 RUSTLER DR,1,Residential Construction,None,,Missoula
2013-MSS-RES-00453,04209304301070000,2013-08-06,5211 PRYOR MOUNTAIN CT,1,Residential Construction,None,LOT 58 MANSION HEIGHTS PHASE 6,Missoula
2013-MSS-RES-00472,04220032222060000,2013-07-22,2960 C EATON ST,1,Residential Construction,None,LOT 6 CARLINE ADD NO 3 BLK P,Missoula
2013-MSS-RES-00473,04220032222070000,2013-07-22,2960 B EATON ST,1,Residential Construction,None,LOT 7 CARLINE ADD NO 3 BLK P,Missoula
2013-MSS-RES-00474,04220032222080000,2013-07-22,2960 A EATON ST,1,Residential Construction,None,LOT 8 CARLINE ADD NO 3 BLK P,Missoula
2013-MSS-RES-00475,04219914103060000,2013-07-11,1740 DINO CT,1,Residential Construction,None,LOT 7 DINOS ESTATES,Missoula
2013-MSS-RES-00484,04220118305170000,2013-07-10,5453 CANYON RIVER RD,1,Residential Construction,None,,Missoula
2013-MSS-RES-00485,04209213207550000,2013-07-23,5055 JEFF DR,1,Residential Construction,None,LOT 33 LINDA VISTA 12TH,Missoula
2013-MSS-RES-00496,04209213207520000,2013-07-10,5025 JEFF DR,1,Residential Construction,None,LOT 36 LINDA VISTA 12TH SUPP,Missoula
2013-MSS-RES-00500,04220019110250000,2013-07-23,2543 RED OSIER CT,1,Residential Construction,None,,Missoula
2013-MSS-RES-00501,04220019110240000,2013-07-23,2525 RED OSIER CT,1,Residential Construction,None,LOT 6 RED OSIER,Missoula
2013-MSS-RES-00507,04220118305280000,2013-07-19,762 ANGLERS BEND WAY,1,Residential Construction,None,,Missoula
2013-MSS-RES-00509,04220002303060000,2013-08-14,610 CASTLE PINES DR,1,Residential Construction,None,LOT 1 CASTLE PINES ESTATES,Missoula
2013-MSS-RES-00530,04219914109240000,2013-07-22,1715 SHINDIG DR,1,Residential Construction,None,LOT 12 THE VALLEY SUBDIVISION,Missoula
2013-MSS-RES-00537,04219914403180000,2013-08-05,1617 ANGELINA WAY,1,Residential Construction,None,RIVERWALK ESTATES LOT 4,Missoula
2013-MSS-RES-00542,04209211205230000,2013-07-24,6424 LOWER MILLER CREEK RD,1,Residential Construction,None,MALONEY RANCH PHASE 6 LOT 56,Missoula
2013-MSS-RES-00558,04220014208030000,2013-07-30,2420 GILBERT AVE,1,Residential Construction,None,,Missoula
2013-MSS-RES-00579,04209213207400000,2013-08-29,4895 JEFF DR,1,Residential Construction,None,LOT 48 LINDA VISTA 12TH SUPPLEMENT,Missoula
2013-MSS-RES-00582,04220006108220000,2013-08-02,4222 DEVERAUX PL,1,Residential Construction,None,LOT A57 WINDSOR PARK,Missoula
2013-MSS-RES-00583,04220006108220000,2013-08-02,4222 DEVERAUX PL,1,Residential Construction,None,LOT A57 WINDSOR PARK,Missoula
2013-MSS-RES-00598,04220028105010000,2013-07-30,200 MOUNT AVE,1,Residential Construction,None,,Missoula
2013-MSS-RES-00601,04219912205570000,2013-08-07,5354 RESISTOL LN,1,Residential Construction,None,LOT 90A 44 RANCH PHASE 5,Missoula
